"Informazioni cronologiche","In una scala da ""non so nulla"" a ""sono un esperto"", come definiresti il tuo livello di esperienza con Python?","... con le librerie Pandas e Numpy?","... con le librerie Matplotlib e Seaborn?","... con la libreria Scikit-Learn?"
"2020/12/02 11:39:29 PM CET","5","4","2","1"
"2020/12/04 10:30:29 PM CET","3","4","1","1"
"2020/12/05 2:54:28 PM CET","3","3","1","1"
"2020/12/09 9:29:55 AM CET","4","2","1","1"
"2020/12/09 9:32:15 AM CET","4","3","1","1"
"2020/12/09 9:38:28 AM CET","3","2","1","1"
"2020/12/09 9:38:34 AM CET","3","5","1","1"
"2020/12/09 9:38:37 AM CET","2","2","1","1"
"2020/12/09 9:38:46 AM CET","2","2","2","1"
"2020/12/09 9:38:49 AM CET","5","4","1","3"
"2020/12/09 9:38:49 AM CET","5","5","3","5"
"2020/12/09 9:38:50 AM CET","3","3","1","4"
"2020/12/09 9:38:55 AM CET","4","5","3","3"
"2020/12/09 9:38:56 AM CET","4","2","1","1"
"2020/12/09 9:38:57 AM CET","4","4","2","2"
"2020/12/09 9:38:57 AM CET","3","3","1","1"
"2020/12/09 9:38:58 AM CET","4","3","1","1"
"2020/12/09 9:38:58 AM CET","4","3","1","1"
"2020/12/09 9:38:59 AM CET","4","4","3","1"
"2020/12/09 9:39:00 AM CET","3","1","1","1"
"2020/12/09 9:39:01 AM CET","4","4","2","3"
"2020/12/09 9:39:02 AM CET","5","5","4","5"
"2020/12/09 9:39:02 AM CET","5","3","1","1"
"2020/12/09 9:39:04 AM CET","4","4","3","1"
"2020/12/09 9:39:04 AM CET","3","3","1","1"
"2020/12/09 9:39:05 AM CET","3","3","1","1"
"2020/12/09 9:39:07 AM CET","5","5","4","2"
"2020/12/09 9:39:07 AM CET","5","5","3","2"
"2020/12/09 9:39:10 AM CET","3","3","1","1"
"2020/12/09 9:39:11 AM CET","3","3","1","1"
"2020/12/09 9:39:13 AM CET","3","4","1","1"
"2020/12/09 9:39:17 AM CET","3","2","1","1"
"2020/12/09 9:39:22 AM CET","4","4","1","1"
"2020/12/09 9:39:25 AM CET","3","3","1","1"
"2020/12/09 9:39:28 AM CET","3","2","1","1"
"2020/12/09 9:39:29 AM CET","3","3","2","3"
"2020/12/09 9:39:29 AM CET","2","1","1","1"
"2020/12/09 9:39:32 AM CET","4","4","1","1"
"2020/12/09 9:39:32 AM CET","5","5","1","1"
"2020/12/09 9:39:33 AM CET","3","3","1","1"
"2020/12/09 9:39:37 AM CET","4","4","2","1"
"2020/12/09 9:39:39 AM CET","5","5","2","2"
"2020/12/09 9:39:44 AM CET","3","1","1","1"
"2020/12/09 9:39:49 AM CET","3","3","3","1"
"2020/12/09 9:39:49 AM CET","4","4","1","1"
"2020/12/09 9:39:52 AM CET","5","4","4","5"
"2020/12/09 9:39:52 AM CET","3","3","3","2"
"2020/12/09 9:39:56 AM CET","2","3","1","1"
"2020/12/09 9:40:07 AM CET","5","6","3","2"
"2020/12/09 9:40:07 AM CET","2","1","1","1"
"2020/12/09 9:40:29 AM CET","4","5","1","1"
"2020/12/09 9:45:22 AM CET","3","4","1","1"
"2020/12/09 2:50:56 PM CET","3","4","1","1"
