"Informazioni cronologiche","In una scala da ""non so nulla"" a ""sono un esperto"", come definiresti il tuo livello di esperienza con Python?","... con le librerie Pandas e Numpy?","... con le librerie Matplotlib e Seaborn?","... con la libreria Scikit-Learn?"
"2019/12/05 10:27:04 AM CET","5","5","5","3"
"2019/12/05 10:28:09 AM CET","3","3","1","1"
"2019/12/05 10:28:11 AM CET","4","4","2","2"
"2019/12/05 10:35:18 AM CET","4","3","3","2"
"2019/12/05 10:36:36 AM CET","5","5","4","3"
"2019/12/05 10:41:19 AM CET","1","1","1","1"
"2019/12/05 11:02:27 AM CET","2","2","1","1"
"2019/12/05 11:34:27 AM CET","3","3","1","1"
"2019/12/05 11:35:48 AM CET","3","2","1","1"
"2019/12/05 12:09:20 PM CET","4","5","1","1"
"2019/12/05 1:30:18 PM CET","2","3","1","1"
"2019/12/05 1:49:22 PM CET","3","4","1","1"
"2019/12/05 11:47:00 PM CET","6","6","4","5"
"2019/12/06 9:14:07 AM CET","3","3","2","1"
"2019/12/06 10:34:59 AM CET","2","2","1","1"
"2019/12/08 5:52:56 PM CET","3","3","1","1"
"2019/12/09 3:50:47 PM CET","3","3","1","1"
"2019/12/09 10:27:02 PM CET","5","5","4","4"
"2019/12/10 5:51:52 AM CET","3","3","2","2"
"2019/12/10 3:03:43 PM CET","3","1","1","1"
"2019/12/11 2:25:09 PM CET","3","3","1","3"
"2019/12/11 2:45:40 PM CET","3","4","3","2"
"2019/12/11 2:46:35 PM CET","5","4","4","5"
"2019/12/11 2:46:56 PM CET","4","4","3","4"
"2019/12/11 2:46:57 PM CET","2","1","1","1"
"2019/12/11 2:47:01 PM CET","5","5","2","4"
"2019/12/11 2:47:02 PM CET","2","2","1","1"
"2019/12/11 2:47:15 PM CET","3","3","1","1"
"2019/12/11 2:47:37 PM CET","4","4","1","1"
"2019/12/11 2:47:39 PM CET","4","4","1","1"
"2019/12/11 2:47:49 PM CET","5","5","2","1"
"2019/12/11 2:47:52 PM CET","6","6","4","6"
"2019/12/11 2:47:59 PM CET","3","1","1","1"
"2019/12/11 2:48:02 PM CET","2","2","1","1"
"2019/12/11 2:48:05 PM CET","3","3","1","1"
"2019/12/11 2:48:06 PM CET","2","2","1","1"
"2019/12/11 2:48:07 PM CET","5","4","1","3"
"2019/12/11 2:48:07 PM CET","3","4","1","1"
"2019/12/11 2:48:08 PM CET","5","5","3","2"
"2019/12/11 2:48:12 PM CET","2","2","1","1"
"2019/12/11 2:48:12 PM CET","4","4","2","3"
"2019/12/11 2:48:20 PM CET","6","6","4","6"
"2019/12/11 2:48:24 PM CET","5","4","1","1"
"2019/12/11 2:48:29 PM CET","6","6","5","6"
"2019/12/11 2:48:31 PM CET","4","4","2","2"
"2019/12/11 2:48:39 PM CET","4","4","3","2"
"2019/12/11 2:48:42 PM CET","4","4","1","1"
"2019/12/11 2:48:43 PM CET","4","4","3","2"
"2019/12/11 2:48:43 PM CET","2","3","3","2"
"2019/12/11 2:48:50 PM CET","4","4","1","1"
"2019/12/11 2:48:52 PM CET","5","5","4","4"
"2019/12/11 2:48:54 PM CET","2","1","1","1"
"2019/12/11 2:48:59 PM CET","4","4","2","2"
"2019/12/11 2:49:46 PM CET","5","4","1","1"
"2019/12/11 2:49:48 PM CET","6","5","5","5"
"2019/12/11 2:50:00 PM CET","3","2","1","1"
"2019/12/11 2:50:06 PM CET","3","2","1","1"
"2019/12/11 2:50:26 PM CET","2","1","1","1"
