"Informazioni cronologiche","Excel","Python (matplotlib+seaborn)","R (ggplot2)","Javascript (d3.js, plot.ly)","Tableau"
"2019/11/20 3:02:11 PM CET","4","6","1","1","5"
"2019/11/20 3:02:11 PM CET","1","6","1","1","6"
"2019/11/20 3:02:11 PM CET","3","5","2","1","6"
"2019/11/20 3:02:14 PM CET","2","6","4","2","4"
"2019/11/20 3:02:14 PM CET","4","5","3","2","6"
"2019/11/20 3:02:17 PM CET","3","6","6","3","6"
"2019/11/20 3:02:18 PM CET","3","5","5","5","5"
"2019/11/20 3:02:19 PM CET","2","6","4","3","6"
"2019/11/20 3:02:19 PM CET","1","4","6","2","6"
"2019/11/20 3:02:21 PM CET","4","5","4","1","6"
"2019/11/20 3:02:21 PM CET","1","6","3","6","4"
"2019/11/20 3:02:21 PM CET","1","6","6","6","6"
"2019/11/20 3:02:22 PM CET","4","4","1","1","5"
"2019/11/20 3:02:23 PM CET","2","3","6","1","6"
"2019/11/20 3:02:24 PM CET","3","6","6","4","5"
"2019/11/20 3:02:26 PM CET","5","6","6","1","6"
"2019/11/20 3:02:29 PM CET","4","6","6","5","5"
"2019/11/20 3:02:31 PM CET","1","4","6","3","6"
"2019/11/20 3:02:31 PM CET","1","6","1","1","6"
"2019/11/20 3:02:35 PM CET","3","6","3","1","6"
"2019/11/20 3:02:38 PM CET","4","4","4","4","1"
"2019/11/20 3:02:38 PM CET","4","6","6","5","6"
"2019/11/20 3:02:39 PM CET","4","6","5","4","6"
"2019/11/20 3:02:40 PM CET","4","6","1","1","6"
"2019/11/20 3:02:40 PM CET","1","6","6","2","6"
"2019/11/20 3:02:42 PM CET","6","1","6","1","6"
"2019/11/20 3:02:44 PM CET","1","5","6","1","1"
"2019/11/20 3:02:44 PM CET","1","6","2","2","5"
"2019/11/20 3:02:45 PM CET","1","5","3","1","6"
"2019/11/20 3:02:45 PM CET","5","5","5","2","2"
"2019/11/20 3:02:48 PM CET","2","4","6","1","6"
"2019/11/20 3:02:48 PM CET","1","6","6","2","6"
"2019/11/20 3:02:50 PM CET","1","3","4","3","6"
"2019/11/20 3:02:51 PM CET","5","5","3","3","5"
"2019/11/20 3:02:53 PM CET","1","6","6","1","6"
"2019/11/20 3:02:54 PM CET","3","5","6","4","6"
"2019/11/20 3:02:56 PM CET","1","6","1","5","6"
"2019/11/20 3:02:56 PM CET","1","6","6","1","6"
"2019/11/20 3:03:00 PM CET","4","5","4","1","5"
"2019/11/20 3:03:04 PM CET","1","1","6","1","1"
"2019/11/20 3:03:05 PM CET","2","5","4","3","6"
"2019/11/20 3:03:09 PM CET","6","5","3","3","4"
"2019/11/20 3:03:09 PM CET","3","4","2","5","6"
"2019/11/20 3:03:11 PM CET","1","6","1","6","6"
"2019/11/20 3:03:15 PM CET","2","6","5","1","6"
"2019/11/20 3:03:15 PM CET","5","6","3","1","3"
"2019/11/20 3:03:16 PM CET","2","6","5","4","6"
"2019/11/20 3:03:16 PM CET","2","3","6","2","6"
"2019/11/20 3:03:16 PM CET","3","6","5","3","6"
"2019/11/20 3:03:19 PM CET","1","5","5","1","6"
"2019/11/20 3:03:20 PM CET","1","6","6","1","4"
"2019/11/20 3:03:22 PM CET","6","4","6","1","6"
"2019/11/20 3:03:22 PM CET","2","5","5","2","4"
"2019/11/20 3:03:22 PM CET","5","5","6","1","6"
"2019/11/20 3:03:25 PM CET","4","5","2","6","5"
"2019/11/20 3:03:26 PM CET","4","6","4","6","5"
"2019/11/20 3:03:29 PM CET","1","5","2","1","6"
"2019/11/20 3:03:32 PM CET","1","4","6","1","4"
"2019/11/20 3:03:34 PM CET","2","5","5","6","4"
"2019/11/20 3:03:38 PM CET","2","4","4","3","6"
"2019/11/20 3:03:38 PM CET","1","6","1","4","6"
"2019/11/20 3:03:43 PM CET","4","6","4","6","5"
"2019/11/20 3:03:48 PM CET","4","6","5","4","4"
"2019/11/20 3:03:49 PM CET","4","6","6","3","6"
"2019/11/20 3:03:53 PM CET","3","4","5","3","5"
"2019/11/20 3:03:53 PM CET","2","4","4","1","4"
"2019/11/20 3:04:07 PM CET","1","6","6","6","6"
"2019/11/20 3:04:12 PM CET","2","6","6","6","6"
"2019/11/20 3:04:12 PM CET","1","5","5","5","5"
"2019/11/20 3:04:13 PM CET","5","6","6","1","5"
"2019/11/20 3:04:17 PM CET","4","6","6","2","5"
"2019/11/20 3:04:22 PM CET","2","4","6","1","6"
"2019/11/20 3:04:25 PM CET","2","5","4","4","5"
"2019/11/20 3:04:32 PM CET","1","6","4","1","6"
"2019/11/20 3:04:43 PM CET","1","6","4","1","6"
"2019/11/20 3:04:46 PM CET","4","6","6","3","6"
"2019/11/20 3:04:50 PM CET","2","5","5","2","6"
"2019/11/20 3:04:56 PM CET","2","4","4","2","6"
"2019/11/20 3:05:21 PM CET","2","6","4","6","5"
"2019/11/20 3:05:52 PM CET","6","1","6","5","6"
"2019/11/20 3:06:11 PM CET","1","1","6","1","6"
"2019/11/20 3:06:23 PM CET","1","1","6","1","6"
"2019/11/20 3:07:21 PM CET","1","6","3","6","6"
"2019/11/20 10:51:20 PM CET","1","4","2","1","6"
"2019/12/04 2:43:20 PM CET","2","6","4","3","6"
"2019/12/08 10:26:26 PM CET","3","5","6","3","6"
"2019/12/09 10:26:03 PM CET","1","3","1","1","6"
"2019/12/10 5:51:12 AM CET","4","5","4","1","4"
